0	17	2192	576	16	32
1	1	768	832	512	16
2	1	768	736	416	16
3	1	1216	768	64	16
4	1	1280	687	6	144
5	1	762	686	6	144
6	16	920	816	16	16
7	16	984	816	16	16
8	16	1238	816	16	16
9	14	1106	800	16	32
10	14	1040	704	16	32
11	5	796	768	8	16
12	4	920	800	8	16
13	4	1052	768	8	16
14	13	1116	768	8	16
15	4	860	704	8	16
16	7	988	704	8	16
17	4	1176	704	8	16
18	4	1240	704	8	16
19	2	1152	816	16	16
20	2	1168	800	16	16
21	2	1184	784	16	16
22	2	1200	768	16	16
23	22	1200	752	16	16
24	22	1184	736	16	16
25	22	880	720	16	16
26	22	864	704	16	16
27	22	848	686	16	16
28	1	762	464	6	144
29	1	2304	464	6	144
30	1	768	608	64	16
31	1	832	576	64	16
32	1	928	576	64	16
33	1	768	512	128	16
34	1	928	512	192	16
35	1	864	608	224	16
36	1	1184	576	64	32
37	1	1086	528	32	80
38	1	1120	608	64	16
39	1	1152	512	46	16
40	1	1184	464	32	48
41	1	1248	608	286	16
42	1	1536	608	320	16
43	1	1856	576	96	32
44	1	2048	512	32	48
45	1	1856	480	128	16
46	1	2080	512	64	16
47	1	1792	544	32	16
48	1	2016	464	32	96
49	1	1952	608	64	16
50	1	2016	608	286	16
51	1	2176	544	32	16
52	1	2240	544	32	16
53	22	848	624	16	16
54	22	832	608	16	16
55	22	944	560	16	16
56	22	928	544	16	16
57	22	912	528	16	16
58	22	896	512	16	16
59	22	1120	512	16	16
60	22	1136	528	16	16
61	22	1152	544	16	16
62	22	1168	560	16	16
63	2	2176	592	16	16
64	2	2192	576	16	16
65	2	2208	560	16	16
66	2	2224	544	16	16
67	22	2160	528	16	16
68	22	2144	512	16	16
69	2	2080	496	16	16
70	2	2096	480	16	16
71	2	2112	464	16	16
72	14	944	544	16	32
73	4	796	544	8	16
74	16	1428	592	16	16
75	6	924	544	8	16
76	4	860	480	8	16
77	14	960	480	16	32
78	4	988	480	8	16
79	4	1116	480	8	16
80	5	1052	544	8	16
81	6	1180	544	8	16
82	9	1200	512	16	16
83	4	1244	544	8	16
84	4	1308	480	8	16
85	4	1500	480	8	16
86	4	1564	480	8	16
87	4	1374	544	8	16
88	4	1432	544	8	16
89	15	1296	576	16	32
90	14	1560	576	16	32
91	16	1496	592	16	16
92	4	1630	544	8	16
93	4	1692	544	8	16
94	4	1756	480	8	16
95	7	1820	480	8	16
96	4	1884	544	8	16
97	4	1948	544	8	16
98	16	1816	592	16	16
99	3	2016	560	22	48
100	16	2264	592	16	16
101	4	2138	544	8	16
102	7	2204	480	8	16
103	5	2076	480	8	16
104	17	2128	480	16	32
