0	21	1769	90	16	16
1	1	0	416	752	16
2	33	208	384	16	32
3	35	96	384	16	32
4	35	352	384	16	32
5	33	464	384	16	32
6	34	602	384	16	32
7	27	704	384	32	32
8	1	1536	352	224	16
9	1	1856	352	144	16
10	1	1632	320	32	16
11	1	1792	352	32	16
12	1	1984	416	32	16
13	1	2016	384	32	16
14	1	2016	352	16	16
15	1	2040	272	8	80
16	24	1616	304	16	16
17	24	1600	288	16	16
18	24	1584	272	16	16
19	24	1968	336	16	16
20	24	1952	320	16	16
21	24	1936	304	16	16
22	24	1920	288	16	16
23	24	1904	272	16	16
24	7	1568	288	8	16
25	4	1694	288	8	16
26	4	1632	288	8	16
27	7	1752	288	8	16
28	29	1816	288	8	16
29	4	1884	288	8	16
30	4	1952	288	8	16
31	5	2032	288	8	16
32	1	0	208	256	16
33	1	256	208	256	16
34	1	512	208	256	16
35	1	768	208	256	16
36	1	1024	208	256	16
37	1	752	112	160	16
38	1	688	144	48	16
39	1	928	144	80	16
40	1	1280	208	256	16
41	1	1392	112	144	16
42	1	1600	208	208	16
43	1	1536	112	128	16
44	1	1664	144	48	16
45	1	1534	208	48	16
46	1	1792	128	64	48
47	1	1856	208	48	16
48	1	1886	144	48	16
49	1	1808	176	48	32
50	1	1856	128	32	16
51	1	1528	128	16	80
52	1	1528	48	16	16
53	3	1528	64	24	48
54	1	2016	48	32	16
55	3	2024	64	24	48
56	1	1952	112	208	16
57	1	2176	144	176	16
58	1	1920	208	128	16
59	1	2050	208	236	16
60	1	2288	208	288	16
61	1	2576	208	236	16
62	1	2040	128	8	80
63	1	2808	48	8	160
64	1	2768	144	40	16
65	1	2720	176	16	16
66	2	2752	144	16	16
67	2	2736	160	16	16
68	2	1296	192	16	16
69	2	1312	176	16	16
70	2	1328	160	16	16
71	2	1344	144	16	16
72	2	1360	128	16	16
73	2	1376	112	16	16
74	2	624	192	16	16
75	2	640	174	16	16
76	2	656	160	16	16
77	2	672	144	16	16
78	2	720	128	16	16
79	2	736	112	16	16
80	24	928	128	16	16
81	24	912	112	16	16
82	24	1584	208	16	16
83	24	1712	144	16	16
84	24	1728	160	16	16
85	24	1744	176	16	16
86	24	1760	192	16	16
87	24	1904	208	16	16
88	24	1936	144	16	16
89	24	1952	160	16	16
90	24	1968	176	16	16
91	24	1984	192	16	16
92	24	2160	112	16	16
93	24	2176	128	16	16
94	24	2352	144	16	16
95	24	2368	160	16	16
96	24	2384	176	16	16
97	24	2400	192	16	16
98	6	24	176	8	16
99	4	90	144	8	16
100	4	154	176	8	16
101	4	218	144	8	16
102	4	280	176	8	16
103	4	344	144	8	16
104	4	410	176	8	16
105	4	474	144	8	16
106	4	536	176	8	16
107	4	600	144	8	16
108	4	664	80	8	16
109	7	734	176	8	16
110	5	864	80	8	16
111	7	924	176	8	16
112	4	984	80	8	16
113	4	1054	176	8	16
114	4	1120	176	8	16
115	4	1184	176	8	16
116	4	1248	176	8	16
117	4	1320	174	8	16
118	4	1374	144	8	16
119	4	1432	80	8	16
120	5	1502	48	8	16
121	4	1560	176	8	16
122	4	1624	80	8	16
123	4	1686	64	8	16
124	4	1752	144	8	16
125	4	1832	68	8	16
126	4	1884	176	8	16
127	4	1944	48	8	16
128	4	2008	80	8	16
129	5	2078	144	8	16
130	4	2132	808	8	16
131	4	2200	112	8	16
132	4	2270	80	8	16
133	4	2328	176	8	16
134	11	2398	144	8	16
135	4	2464	176	8	16
136	4	2528	176	8	16
137	5	2590	144	8	16
138	4	2656	176	8	16
139	4	2716	144	8	16
140	5	2784	148	8	16
141	32	796	48	8	16
142	20	176	176	16	32
143	20	208	176	16	32
144	20	240	176	16	32
145	20	368	176	16	32
146	20	1200	176	16	32
147	20	1228	176	16	32
148	20	1280	176	16	32
149	20	2252	112	16	32
150	20	2254	176	16	32
151	20	2288	176	16	32
152	20	2576	176	16	32
153	22	688	128	24	16
154	22	890	96	24	16
155	22	936	128	24	16
156	34	2720	80	48	22
