14	88
32	32
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	3	1	1	2	3	1	1	2	4	1	1	2	3	1	5	2	3	5	1	1	1	1	2	3	6	2	7	1	1	5	2	5	2	5	2	5	2	1	5	1	7	7	1	6	2	8	9	10	10	2	10	10	10	10	11	10	11	10	10	10	10	12	1	1	2	7	1	2	5	1	2	3	13	14	1	18	2	14	1	18	2	13	14	4	5	8
15	16	17	19	104	16	17	19	104	16	20	19	104	16	17	19	15	16	17	32	104	104	104	104	16	31	32	16	104	104	104	15	16	32	16	32	16	32	16	104	32	104	104	104	104	32	16	26	27	28	45	16	45	46	46	46	42	28	16	45	45	46	46	26	104	15	16	104	104	16	32	104	16	17	15	104	52	66	16	53	52	66	16	53	52	20	32	43
104	16	31	32	104	16	17	32	104	16	17	32	104	16	17	32	104	16	17	32	104	104	21	34	30	29	33	33	23	24	104	104	16	32	16	32	16	32	16	19	32	104	21	34	33	29	30	40	41	59	59	30	45	45	39	39	16	39	16	45	28	59	59	40	29	33	33	23	24	16	32	104	16	31	104	104	16	104	16	104	16	104	16	19	16	31	32	26
104	16	104	32	104	16	31	32	19	16	17	32	104	16	31	32	104	16	17	32	21	34	35	36	16	104	15	16	37	38	29	25	16	32	16	32	16	32	16	15	32	21	22	36	104	104	16	43	44	39	39	16	59	60	47	39	49	49	50	59	60	47	28	51	20	104	16	37	38	33	29	33	33	23	24	104	16	104	16	104	16	104	16	15	16	21	34	40
104	16	104	32	19	16	104	32	15	16	31	32	104	16	104	32	15	16	31	21	22	36	19	104	16	104	104	16	104	16	19	19	16	32	16	32	16	32	16	19	21	22	36	19	104	104	16	43	44	45	45	16	39	16	61	47	63	49	42	39	16	61	47	51	31	104	16	104	19	16	15	16	15	37	61	24	16	104	16	104	16	104	16	104	16	105	36	43
29	30	29	29	29	30	29	29	29	30	29	29	29	30	29	29	29	30	29	35	29	29	29	29	30	29	29	30	29	30	29	29	30	29	30	29	30	29	30	29	35	29	29	29	29	29	30	57	58	60	59	30	59	30	106	62	48	49	30	60	30	59	62	65	29	29	30	29	29	30	29	30	29	29	29	38	30	29	30	29	30	29	30	29	30	29	29	57
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	75	75	75	75	75	74	74	74	75	75	75	75	75	74	74	74	74	74	74	80	81	81	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	68	69	67	103	103	67	103	67	103	67	68	69	103	67	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	76	76	76	76	76	77	77	76	76	76	76	76	76	77	77	77	77	77	77	94	95	95	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	45	54	42	103	103	42	103	16	103	16	45	54	69	16	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	90	76	76	76	76	76	76	76	90	76	76	76	76	76	76	76	76	90	90	83	84	95	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	45	45	50	103	103	42	103	16	103	16	45	45	54	16	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	91	90	90	90	90	90	90	90	91	90	90	90	90	90	90	90	90	91	103	83	98	95	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	56	56	55	71	56	55	103	55	103	55	56	56	56	73	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	89	92	88	88	92	88	92	88	89	92	88	88	92	88	92	92	79	89	93	99	100	101	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	103	103	42	85	72	16	86	16	86	16	72	86	103	16	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	70	70	55	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
